"dia","time_casa","gols_casa","gols_fora","time_fora","ano","r_timecasa","r_timefora"
"1972-09-27","sergipe",0,2,"americamg",1972,,
"1972-09-27","ceara",1,3,"atleticomg",1972,,
"1972-09-27","bahia",0,1,"flamengo",1972,,
"1972-09-28","santacruz",2,0,"vasco",1972,,
"1972-09-28","santos",1,0,"saopaulo",1972,,
"1972-09-30","bahia",0,0,"gremio",1972,,
"1972-09-30","nautico",1,2,"palmeiras",1972,,
"1972-10-01","santacruz",4,1,"americamg",1972,,
"1972-10-01","americarj",2,0,"botafogo",1972,,
"1972-10-01","abc",1,2,"vasco",1972,,
"1972-10-01","atleticomg",2,0,"coritiba",1972,,
"1972-10-01","vitoria",0,0,"fluminense",1972,,
"1972-10-01","crb",1,3,"santos",1972,,
"1972-10-01","nacional",2,2,"internacional",1972,,
"1972-10-01","ceara",1,3,"flamengo",1972,,
"1972-10-01","corinthians",3,2,"portuguesa",1972,,
"1972-10-01","remo",0,1,"saopaulo",1972,,
"1972-10-01","sergipe",0,1,"cruzeiro",1972,,
"1972-10-04","crb",1,3,"palmeiras",1972,,
"1972-10-04","ceara",0,0,"vasco",1972,,
"1972-10-04","gremio",1,1,"portuguesa",1972,,
"1972-10-04","bahia",1,1,"botafogo",1972,,
"1972-10-04","nacional",1,1,"saopaulo",1972,,
"1972-10-04","remo",0,0,"internacional",1972,,
"1972-10-04","nautico",1,1,"santos",1972,,
"1972-10-04","cruzeiro",4,0,"vitoria",1972,,
"1972-10-04","americarj",2,0,"atleticomg",1972,,
"1972-10-04","sergipe",1,1,"fluminense",1972,,
"1972-10-04","abc",0,0,"flamengo",1972,,
"1972-10-04","coritiba",2,0,"americamg",1972,,
"1972-10-05","santacruz",3,3,"corinthians",1972,,
"1972-10-07","remo",0,1,"americarj",1972,,
"1972-10-07","nautico",0,1,"corinthians",1972,,
"1972-10-08","bahia",1,0,"saopaulo",1972,,
"1972-10-08","nacional",2,0,"portuguesa",1972,,
"1972-10-08","atleticomg",5,0,"vitoria",1972,,
"1972-10-08","crb",3,2,"botafogo",1972,,
"1972-10-08","palmeiras",2,2,"cruzeiro",1972,,
"1972-10-08","sergipe",0,2,"gremio",1972,,
"1972-10-08","vasco",1,2,"flamengo",1972,,
"1972-10-08","ceara",2,0,"americamg",1972,,
"1972-10-08","santacruz",1,2,"fluminense",1972,,
"1972-10-08","abc",0,0,"coritiba",1972,,
"1972-10-08","internacional",0,0,"santos",1972,,
"1972-10-11","remo",2,0,"portuguesa",1972,,
"1972-10-11","crb",0,0,"corinthians",1972,,
